region_code,region,item,element,unit,year,amount
015,Northern Africa,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
015,Northern Africa,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
015,Northern Africa,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
015,Northern Africa,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
015,Northern Africa,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
015,Northern Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,37.3
015,Northern Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,37.2
015,Northern Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,90.5
015,Northern Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,90.1
746,Northern Africa (excluding Sudan),"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,35.4
746,Northern Africa (excluding Sudan),"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,70.7
018,Southern Africa,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.24
018,Southern Africa,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
018,Southern Africa,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
018,Southern Africa,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
018,Southern Africa,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
018,Southern Africa,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
018,Southern Africa,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
018,Southern Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,61.2
018,Southern Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,61.4
018,Southern Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,40.2
018,Southern Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,40.4
011,Western Africa,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,2.95
011,Western Africa,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
011,Western Africa,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
011,Western Africa,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
011,Western Africa,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
011,Western Africa,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
011,Western Africa,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
011,Western Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,68.4
011,Western Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,68.3
011,Western Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,265.1
011,Western Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,264.5
202,Sub-Saharan Africa,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.07
202,Sub-Saharan Africa,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
202,Sub-Saharan Africa,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
202,Sub-Saharan Africa,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
202,Sub-Saharan Africa,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
202,Sub-Saharan Africa,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
202,Sub-Saharan Africa,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
202,Sub-Saharan Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,71.8
202,Sub-Saharan Africa,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,71.6
202,Sub-Saharan Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,746.7
202,Sub-Saharan Africa,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,745.4
021,Northern America,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,2.71
021,Northern America,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
021,Northern America,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
021,Northern America,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
021,Northern America,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
021,Northern America,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
021,Northern America,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
021,Northern America,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,4.8
021,Northern America,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,4.8
021,Northern America,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,17.8
021,Northern America,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,17.8
013,Central America,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.35
013,Central America,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
013,Central America,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
013,Central America,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
013,Central America,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
013,Central America,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
013,Central America,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
013,Central America,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,31.2
013,Central America,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,30.7
013,Central America,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,53.5
013,Central America,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,52.7
420,Latin America,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.39
420,Latin America,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
420,Latin America,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
420,Latin America,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
420,Latin America,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
420,Latin America,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
420,Latin America,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
420,Latin America,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,27.9
420,Latin America,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,27.9
420,Latin America,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,164.2
420,Latin America,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,164.1
419,Latin America and the Caribbean,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.58
419,Latin America and the Caribbean,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
419,Latin America and the Caribbean,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
419,Latin America and the Caribbean,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
419,Latin America and the Caribbean,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
419,Latin America and the Caribbean,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
419,Latin America and the Caribbean,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
419,Latin America and the Caribbean,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,29.2
419,Latin America and the Caribbean,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,29.2
419,Latin America and the Caribbean,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,184.5
419,Latin America and the Caribbean,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,184.4
029,Caribbean,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.79
029,Caribbean,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
029,Caribbean,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
029,Caribbean,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
029,Caribbean,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
029,Caribbean,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
029,Caribbean,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
029,Caribbean,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,47.3
029,Caribbean,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,47.2
029,Caribbean,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,20.4
029,Caribbean,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,20.3
005,South America,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.41
005,South America,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
005,South America,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
005,South America,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
005,South America,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
005,South America,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
005,South America,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
005,South America,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,26.5
005,South America,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,26.7
005,South America,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,110.7
005,South America,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,111.4
513,Northern America and Europe,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,2.77
513,Northern America and Europe,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
513,Northern America and Europe,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
513,Northern America and Europe,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
513,Northern America and Europe,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
513,Northern America and Europe,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
513,Northern America and Europe,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
513,Northern America and Europe,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,7.2
513,Northern America and Europe,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,7.2
513,Northern America and Europe,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,80.1
513,Northern America and Europe,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,80.1
142,Asia,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.21
142,Asia,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
142,Asia,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
142,Asia,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
142,Asia,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
142,Asia,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
142,Asia,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
142,Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,39.9
142,Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,44.0
142,Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,1825.7
142,Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,2010.2
143,Central Asia,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.11
143,Central Asia,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
143,Central Asia,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
143,Central Asia,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
143,Central Asia,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
143,Central Asia,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
143,Central Asia,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
143,Central Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,21.0
143,Central Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,21.2
143,Central Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,15.2
143,Central Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,15.4
030,Eastern Asia,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,4.08
030,Eastern Asia,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
030,Eastern Asia,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
030,Eastern Asia,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
030,Eastern Asia,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
030,Eastern Asia,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
030,Eastern Asia,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
030,Eastern Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,26.5
030,Eastern Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,25.7
030,Eastern Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,438.2
030,Eastern Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,424.6
034,Southern Asia,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.32
034,Southern Asia,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
034,Southern Asia,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
034,Southern Asia,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
034,Southern Asia,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
034,Southern Asia,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
034,Southern Asia,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
034,Southern Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,56.7
034,Southern Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,63.9
034,Southern Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,1086.7
034,Southern Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,1225.3
127,Southern Asia (excluding India),"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.4
127,Southern Asia (excluding India),"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
127,Southern Asia (excluding India),"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
127,Southern Asia (excluding India),"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
127,Southern Asia (excluding India),"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
127,Southern Asia (excluding India),"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
127,Southern Asia (excluding India),"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
127,Southern Asia (excluding India),"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,50.5
127,Southern Asia (excluding India),"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,50.3
127,Southern Asia (excluding India),"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,281.8
127,Southern Asia (excluding India),"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,280.4
035,South-eastern Asia,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,3.53
035,South-eastern Asia,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
035,South-eastern Asia,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
035,South-eastern Asia,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
035,South-eastern Asia,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
035,South-eastern Asia,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
035,South-eastern Asia,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
035,South-eastern Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,37.5
035,South-eastern Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,38.0
035,South-eastern Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,246.0
035,South-eastern Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,249.2
145,Western Asia,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,2.66
145,Western Asia,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
145,Western Asia,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
145,Western Asia,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
145,Western Asia,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
145,Western Asia,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
145,Western Asia,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
145,Western Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,14.4
145,Western Asia,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,20.5
145,Western Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,39.5
145,Western Asia,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,56.3
150,Europe,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,2.77
150,Europe,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
150,Europe,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
150,Europe,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
150,Europe,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
150,Europe,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
150,Europe,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
150,Europe,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,8.3
150,Europe,"Prevalence of unaffordability (PUA), percent",Value,%,Y2017,8.3
150,Europe,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,62.3
150,Europe,"Number of people unable to afford a healthy diet (NUA), million",Value,million No,Y2017,62.3
151,Eastern Europe,"Cost of a healthy diet (CoHD), PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,2.83
151,Eastern Europe,"Cost of starchy staples, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
151,Eastern Europe,"Cost of animal source foods, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
151,Eastern Europe,"Cost of legumes, nuts and seeds, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
151,Eastern Europe,"Cost of vegetables, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
151,Eastern Europe,"Cost of fruits, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
151,Eastern Europe,"Cost of oils and fats, PPP dollar per person per day",Value,Int$ (PPP) per person per day,Y2017,0.0
